Título,Abstract,Autores,DOI,Ano,Tipo_arquivo,Fonte,Status,Criterio_de_exclusao,Situacao,Descrição da aplicação,Coluna 1,,
Exploring Public Discourse on Quantum Technology: Overlooking Societal Implications?,"As quantum computing technologies (QCTs) move towards commercialization, understanding public perceptions and stakeholder narratives becomes crucial for their responsible development and integration into society. This paper examines how this technology is presented across media, business, and government documents using thematic narrative analysis. Our research design utilizes an extensive dataset of 165 business reports, 36 government documents, and 2,331 media articles published over the past 20 years. We employ a computational social science approach, combining BERTopic modeling with qualitative assessment to extract themes and narratives. The findings show that public discourse on quantum technology (QT) reflects prevailing social and political agendas, focusing on technical and commercial potential, global conflicts, national strategies, and social issues. Media articles provide the most balanced coverage, while business and government discourses often overlook societal implications. We emphasize the importance of informed and broad public discourse to ensure equitable and beneficial outcomes for society. © 2024 IEEE.",Pöhlmann G.; Ma C.; Suter V.; Meckel M.; Steinacker L.,10.1109/QCE60285.2024.10256,2024,Conference paper,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Quantum Natural Language Processing,"Language processing is at the heart of current developments in artificial intelligence, and quantum computers are becoming available at the same time. This has led to great interest in quantum natural language processing, and several early proposals and experiments. This paper surveys the state of this area, showing how NLP-related techniques have been used in quantum language processing. We examine the art of word embeddings and sequential models, proposing some avenues for future investigation and discussing the tradeoffs present in these directions. We also highlight some recent methods to compute attention in transformer models, and perform grammatical parsing. We also introduce a new quantum design for the basic task of text encoding (representing a string of characters in memory), which has not been addressed in detail before. Quantum theory has contributed toward quantifying uncertainty and explaining “What is intelligence?” In this context, we argue that “hallucinations” in modern artificial intelligence systems are a misunderstanding of the way facts are conceptualized: language can express many plausible hypotheses, of which only a few become actual. © Springer-Verlag GmbH Germany and Gesellschaft für Informatik e.V. 2024.",Widdows D.; Aboumrad W.; Kim D.; Ray S.; Mei J.,10.1007/s13218-024-00861-w,2024,Article,Scopus,Aceito,,,"Trata de buscar o estado da arte em aplicações de computação quântica e processamento de linguagem natural, além de fazer experimentos de text-encoding.",,,
Leveraging NLP and Quantum Computing for Advanced Agricultural Solutions,"Quantum computing and natural language processing (NLP) could transform smart farming. Decision-making and resource management improve with convergence, enabling new agricultural solutions. This technique solves traditional computing's problems with large datasets and complex language processing, making it crucial for real-time decision-making. Problems include complex quantum algorithms, NLP models in quantum frameworks, and quantum hardware. This study presents Smart Agriculture Computing based on Quantum Natural Language Processing (SAC-QNLP) to overcome the aforesaid challenges. Agricultural data systems use quantum computing, data flow, and quantum-enhanced NLP algorithms. Quantum computing assesses large, complicated datasets faster than standard methods. Thus, smart agricultural strategy apps learn more and forecast better. Increased production projections from genetic and environmental factors SAC-QNLP could change farming. A simulation evaluated SAC-QNLP's performance and scalability. Older methods use more resources, produce less precise data, and are less efficient. The results show SAC-QNLP could boost farming production and sustainability.  © 2024 IEEE.",Bhargavi G.; Das M.; Banumathi S.; Malarvizhi E.; Surendran R.,10.1109/ICECA63461.2024.10800767,2024,Conference paper,Scopus,Aceito,,,"Aplica Quantum Natural Language Processing para agricultura, mais precisamente smart farming.",,,
Near-term advances in quantum natural language processing,"This paper describes experiments showing that some tasks in natural language processing (NLP) can already be performed using quantum computers, though so far only with small datasets. We demonstrate various approaches to topic classification. The first uses an explicit word-based approach, in which word-topic weights are implemented as fractional rotations of individual qubits, and a phrase is classified based on the accumulation of these weights onto a scoring qubit, using entangling quantum gates. This is compared with more scalable quantum encodings of word embedding vectors, which are used to compute kernel values in a quantum support vector machine: this approach achieved an average of 62% accuracy on classification tasks involving over 10000 words, which is the largest such quantum computing experiment to date. We describe a quantum probability approach to bigram modeling that can be applied to understand sequences of words and formal concepts, investigate a generative approximation to these distributions using a quantum circuit Born machine, and introduce an approach to ambiguity resolution in verb-noun composition using single-qubit rotations for simple nouns and 2-qubit entangling gates for simple verbs. The smaller systems presented have been run successfully on physical quantum computers, and the larger ones have been simulated. We show that statistically meaningful results can be obtained, but the quality of individual results varies much more using real datasets than using artificial language examples from previous quantum NLP research. Related NLP research is compared, partly with respect to contemporary challenges including informal language, fluency, and truthfulness. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.",Widdows D.; Alexander A.; Zhu D.; Zimmerman C.; Majumder A.,10.1007/s10472-024-09940-y,2024,Article,Scopus,Aceito,,,Propoe uma abordagem baseada em Quantum Natural Language Processing para modelagem de bigramas,,,
Advancing Textual Semantic Understanding with Quantum LSTM Networks,"Long Short-Term Memory (LSTM) networks are adept at managing long-term dependencies in sequential data, making them particularly effective for understanding semantics in context. However, challenges such as language complexity and data limitations persist in natural language processing (NLP). Quantum computing utilizes quantum mechanics to tackle complex language structures with limited data. By integrating quantum computing with LSTM, we can address the issues of linguistic complexity and data scarcity. In this paper, we present a Quantum Long Short-Term Memory (QLSTM) network that comprehends the semantics of textual data. Our simulations demonstrate superior capability of QLSTM in capturing textual semantics. © 2024 IEEE.",Umar Gondel M.M.; Byun K.M.; Shin H.,10.1109/ICTC62082.2024.10826708,2024,Conference paper,Scopus,Aceito,,,"Introduz a QLSTM, uma abordagem Quantica da LSTM que permite aprender a semântica de dados textuais.",,,
Designing complex concentrated alloys with quantum machine learning and language modeling,"Designing novel complex concentrated alloys (CCAs) is an essential topic in materials science. However, due to the complicated high-dimensional component-property relationship, tuning material properties by researchers’ experience is challenging, even when guided by physical or empirical rules. Here, we adopt quantum computing (QC) technology and machine learning models to provide a proof-of-concept application of QC in physical metallurgy. We propose a quantum support vector machine (QSVM) model to predict single-phase CCAs. We show that fine-tuned quantum kernels with entanglement deliver promising performance, with a maximum accuracy of 89.4%. The QSVM model is then used to identify 1,741 lightweight CCAs jointly with a new text-mining-based method. Meanwhile, we devise a controllable approach to study the effect of noise on model performance and find that the noise level needs to be minimized for high-performance QSVM models. This study provides a practical and general approach to designing CCAs based on quantum technologies. © 2024 Elsevier Inc.",Pei Z.; Gong Y.; Liu X.; Yin J.,10.1016/j.matt.2024.05.035,2024,Article,Scopus,Aceito,,,"Aplica Quantum Natural Language Processing para design de ligas metálicas, a partir de elementos químicos, usando um modelo de linguagem que se utiliza de similaridade semantica e um algoritmo de aprendizado de máquina quântico para classificação o QSVM.",,,
The sudden disruptive rise of generative artificial intelligence? An evaluation of their impact on higher education and the global workplace,"This paper evaluates the rise of “Generative Artificial Intelligence” (GAI) in its myriad forms, with the highest profile being the “Large Language Models” (LLMs). More importantly, it analyses the potentially disruptive impact of this ascendant technology on higher education and the global workplace. The findings of this paper indicate that students pursuing higher education tend to perceive GAI favourably, as it frees them from the toil of rote-learning. However, the view is rather mixed in the case of educators, who are still coming to grips with this seemingly disruptive technology. In the case of the global labour market, GAI has the potential to decimate legions of white-collar jobs once it eliminates inherent issues of biases, security and misinformation. Despite the media's constant labelling of GAI as a disruptive technology that has suddenly burst onto the technological scene, it is evidenced in this paper that the technology has taken nearly eight decades to reach today's level of technological advancement. Further, it is far from reaching its full potential, as it is still incorporating advances in pattern recognition, planning and problem solving, and quantum computing technologies. This study also warns of concentrating the power of this game-changing technology in the hands of a few major corporate titans. © 2024 The Authors",Wong W.K.O.,10.1016/j.joitmc.2024.100278,2024,Article,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Generative Quantum Machine Learning via Denoising Diffusion Probabilistic Models,"Deep generative models are key-enabling technology to computer vision, text generation, and large language models. Denoising diffusion probabilistic models (DDPMs) have recently gained much attention due to their ability to generate diverse and high-quality samples in many computer vision tasks, as well as to incorporate flexible model architectures and a relatively simple training scheme. Quantum generative models, empowered by entanglement and superposition, have brought new insight to learning classical and quantum data. Inspired by the classical counterpart, we propose the quantum denoising diffusion probabilistic model (QuDDPM) to enable efficiently trainable generative learning of quantum data. QuDDPM adopts sufficient layers of circuits to guarantee expressivity, while it introduces multiple intermediate training tasks as interpolation between the target distribution and noise to avoid barren plateau and guarantee efficient training. We provide bounds on the learning error and demonstrate QuDDPM's capability in learning correlated quantum noise model, quantum many-body phases, and topological structure of quantum data. The results provide a paradigm for versatile and efficient quantum generative learning.  © 2024 American Physical Society.",Zhang B.; Xu P.; Chen X.; Zhuang Q.,10.1103/PhysRevLett.132.100602,2024,Article,Scopus,Aceito,,,"Introduz um modelo generativo quantico, chamado de QuDDPM.",,,
"Quantum natural language processing and its applications in bioinformatics: a comprehensive review of methodologies, concepts, and future directions","Quantum Natural Language Processing (QNLP) is a relatively new subfield of research that extends the application of principles of natural language processing and quantum computing that has enabled the processing of complex biological information to unprecedented levels. The present comprehensive review analyses the potential of QNLP in influencing many branches of bioinformatics such as genomic sequence analysis, protein structure prediction, and drug discovery and design. To establish a correct background of QNLP techniques, this article is going to explore the basics of quantum computing including qubits, quantum entanglement, and quantum algorithms. The next section is devoted to the application of QNLP in the extraction of material and valuable information and knowledge related to drug discovery and development, prediction and assessment of drug-target interactions. In addition, the paper also explains the application of QNLP in protein structural prediction by quantum embedding, quantum simulation, and quantum optimization for exploring the sequence-structure relationship. However, this study also acknowledges the future of QNLP in bioinformatics in the discussion of the challenges and weaknesses of quantum hardware, data representation, encoding, and the construction and enhancement of the algorithms. This looks into real-life problems solved from industry applications, benchmarking and assessment criteria, and a comparison with other traditional NLP methods. Therefore, the review enunciates the research and application perspectives, as well as the developmental and implementation blueprint for QNLP in bioinformatics. The plan is as follows: its function is to achieve the objectives of precision medicine, new protein design, multi-omics, and green chemistry. Copyright © 2025 Pallavi and Prasanna Kumar.",Pallavi G.; Prasanna Kumar R.,10.3389/fcomp.2025.1464122,2025,Review,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
AI-Powered Collective Decision-Making Systems and the Future Trends,"This paper presents an in-depth survey of the current state and future trends of artificial intelligence (AI) in augmenting collective decision-making processes. At the intersection of AI and group dynamics, this research explores how advanced AI technologies such as machine learning, reinforcement learning, natural language processing, predictive analytics, and swarm intelligence, revolutionize the way collective decisions are made in various sectors, including business, healthcare, governance, and finance. We delve into the theoretical foundations of collective decision-making, highlighting the pivotal role of AI in enhancing human judgment, overcoming cognitive limitations, and facilitating consensus in group settings. The paper examines the application of specific AI methodologies like decision trees, ensemble methods, Bayesian approaches, optimization algorithms, and simulation models in diverse decision-making scenarios. Real-world case studies are presented to illustrate the practical implications and transformative impact of AI in fields such as business strategy, healthcare decision support, financial market predictions, and public policy formulation. We address the challenges and limitations inherent in AI-driven decision systems, such as data quality, ethical concerns, biases, transparency, and integration with human processes. The abstract concludes by discussing emerging trends and future directions in AI collective decision-making, including advancements in explainable AI, ethical AI governance, integration of quantum computing, democratisation of decision-making, continuous learning in AI systems, and cross-disciplinary applications, underscoring the potential of AI to significantly enhance the efficacy and equity of collective decision-making across various domains. © 2024 IEEE.",Khan Z.; Ambadekar S.,10.1109/ICCCNT61001.2024.10725853,2024,Conference paper,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
Quantum machine learning-based framework to detect heart failures in Healthcare 4.0,"Quantum machine learning (QML) is an emerging field that combines the power of quantum computing with machine learning (ML) techniques to solve complex problems. In recent years, QML algorithms have shown tremendous potential in various applications such as image recognition, natural language processing, health care, finance, and drug discovery. QML algorithms aim to reduce computation costs and solve complex problems beyond the scope of classical machine learning algorithms. In this article, we study the performance of two QML algorithms, that is, quantum support vector classifiers (QSVC) and variational quantum classifiers (VQC), for chronic heart disease prediction in Healthcare 4.0. The performance of the two classifiers is assessed using different evaluation metrics like accuracy, precision, recall, and F1 score. The authors concluded the superior performance of QSVC over VQC with an accuracy of 82%. © 2023 John Wiley & Sons Ltd.",Munshi M.; Gupta R.; Jadav N.K.; Polkowski Z.; Tanwar S.; Alqahtani F.; Said W.,10.1002/spe.3264,2024,Article,Scopus,Rejeitado,Não está alinhado com o tema,,,,,
PART III: Quantum models: Quantum classification,"Quantum classification is a rapidly developing area in the field of quantum computing that seeks to leverage the unique properties of quantum mechanics to improve the accuracy and efficiency of classification tasks. This chapter provides an in-depth exploration of the key concepts, algorithms, and applications of quantum classification. It begins with an introduction to the basic principles of quantum mechanics underlying quantum classification, including qubits, quantum gates, and quantum circuits. It then moves on to various quantum classification algorithms, such as quantum support vector machines, quantum decision trees, and quantum K-nearest neighbors, and compares them to their classical counterparts. Next, it delves into the practical aspects of quantum classification, such as hardware and software considerations, error correction, and optimization techniques. The use of quantum machine learning libraries, such as PennyLane and Qiskit, to implement quantum classification algorithms are also explored. The chapter then showcases the wide range of applications of quantum classification, including image and speech recognition, natural language processing, finance, and drug discovery. It highlights the potential advantages and limitations of quantum classification, compared to classical approaches, and presents several use cases where quantum classification has demonstrated superior performance. Finally, the current state of the art in quantum classification is discussed and future directions for research in this exciting and rapidly growing field are outlined. The challenges and opportunities for the adoption of quantum classification in industry and academia, and the potential impact of quantum classification on society at large are also covered. Overall, this chapter serves as a comprehensive guide to the emerging field of quantum classification, offering readers a clear understanding of the theory, algorithms, and applications of this exciting new area of research. © 2025 selection and editorial matter, S. Karthikeyan, M. Akila, D. Sumathi, and T. Poongodi. All rights reserved.",Palani D.; Krishnamoorthy A.,10.1201/9781003429654-11,2024,Book chapter,Scopus,Rejeitado,Tipo de arquivo incorreto,,,,,
